cross,value
EUR_CAD,0.0195723072150392
NZD_CAD,0.0188990035142918
GBP_CAD,0.0184211274655435
CAD_CHF,0.0180761137584576
AUD_CAD,0.0177500179501427
EUR_AUD,0.015977639305009
AUD_CHF,0.0158734547410192
EUR_NZD,0.015811225962637
NZD_CHF,0.0155010604382707
CAD_JPY,0.0152425374935819
NZD_JPY,0.0148469157019815
GBP_JPY,0.014840147980127
NZD_USD,0.0144901902648745
EUR_USD,0.0144298531812546
AUD_JPY,0.0143894899319051
GBP_CHF,0.0142714925178692
USD_CAD,0.0141100588066428
GBP_NZD,0.0140550749423899
EUR_JPY,0.0138979020764535
USD_CHF,0.0135398478267393
CHF_JPY,0.0131113989671728
EUR_GBP,0.013072661664731
AUD_USD,0.0123422070944167
GBP_AUD,0.0123155313397913
GBP_USD,0.0116158052944731
