cross,percentage
USDCAD,0.194837
AUDNZD,0.175689
GBPAUD,0.148755
NZDUSD,0.141677
EURGBP,0.127115
CADCHF,0.124336
CHFJPY,0.068637
NZDCAD,0.018954
