AUD,CAD,CHF,EUR,GBP,JPY,NZD,USD,period
0.000484,-0.000082,-0.000907,0.000777,0.000810,-0.001491,0.000377, 0.000032,M15
0.000914,-0.000406,-0.000592,0.001183,0.000893,-0.002217,0.000074, 0.000151,H1
0.001538,-0.001814,-0.003137,0.003524,0.002067,-0.002999,0.000880,-0.000059,H4
0.000621,-0.001842,-0.000825,0.002251,0.002320,-0.003363,0.000409, 0.000429,D
