name,code,source,sector
Corn,WSJ/CORN_2,WSJ,Grains
Corn Futures,OFDP/FUTURE_C1,OFDP,Grains
Rice,WSJ/RICE_THAI,WSJ,Grains
Soybean,WSJ/SOYB_1,WSJ,Grains
Wheat,WSJ/WHEAT_2,WSJ,Grains
Gold,WGC/GOLD_DAILY_USD,WGC,Metals
Silver,OFDP/SILVER_5,LME,Metals
Platinum,WSJ/PL_MKT,WSJ,Metals
Copper,WSJ/COPPER,WSJ,Metals
Iron Ore,WSJ/FE_TJN,WSJ,Metals
Zinc,WSJ/ZINC,WSJ,Metals
Crude Oil Futures,OFDP/FUTURE_B1,ICE,Oil and Gas
Crude Oil,ODA/POILDUB_USD,ODA,Oil and Gas
