cross1,cross2,rel
GBPCHF,BUNDESBANK.BBK01_WT5511,-0.883208799865146
GBPJPY,BUNDESBANK.BBK01_WT5511,-0.788512924458559
GBPNZD,BUNDESBANK.BBK01_WT5511,-0.874900301052928
GBPUSD,BUNDESBANK.BBK01_WT5511,-0.635525371976325
NZDCAD,BUNDESBANK.BBK01_WT5511,0.199116650069325
NZDCHF,BUNDESBANK.BBK01_WT5511,-0.531360773833488
NZDJPY,BUNDESBANK.BBK01_WT5511,-0.268605196904508
NZDUSD,BUNDESBANK.BBK01_WT5511,0.622968360311988
USDCAD,BUNDESBANK.BBK01_WT5511,-0.539074739264983
USDCHF,BUNDESBANK.BBK01_WT5511,-0.903372251923369
USDJPY,BUNDESBANK.BBK01_WT5511,-0.710208796729498
DOE.RWTC,BUNDESBANK.BBK01_WT5511,0.510176767287725
LBMA.SILVER,BUNDESBANK.BBK01_WT5511,0.911431010479529
LPPM.PLAT,BUNDESBANK.BBK01_WT5511,0.624840732035531
NASDAQOMX.NDX,BUNDESBANK.BBK01_WT5511,0.482462574300979
NIKKEI.INDEX,BUNDESBANK.BBK01_WT5511,-0.851278150676787
OFDP.COPPER_6,BUNDESBANK.BBK01_WT5511,0.859627592446831
WSJ.CORN_2,BUNDESBANK.BBK01_WT5511,0.732625857918351
YAHOO.INDEX_AORD,BUNDESBANK.BBK01_WT5511,-0.137758479561694
YAHOO.INDEX_FCHI,BUNDESBANK.BBK01_WT5511,-0.559244000594737
YAHOO.INDEX_GDAXI,BUNDESBANK.BBK01_WT5511,0.374145593965471
YAHOO.INDEX_GSPC,BUNDESBANK.BBK01_WT5511,0.236355659299411
YAHOO.INDEX_GSPTSE,BUNDESBANK.BBK01_WT5511,0.328048042118413
YAHOO.INDEX_SSEC,BUNDESBANK.BBK01_WT5511,0.113424188090926
BCB.UDJIAD1,AUDCAD,0.438731721724506
BUNDESBANK.BBK01_WT5511,AUDCAD,0.786757544630967
AUDCHF,AUDCAD,0.0377641493439229
AUDJPY,AUDCAD,0.218031360155954
AUDNZD,AUDCAD,0.277390869212405
AUDUSD,AUDCAD,0.814496283971372
CADCHF,AUDCAD,-0.571443469877781
CADJPY,AUDCAD,-0.3947551443527
CHFJPY,AUDCAD,0.174503304573686
EURAUD,AUDCAD,-0.849901604312638
EURCAD,AUDCAD,-0.428180733062395
EURCHF,AUDCAD,-0.692317582634951
EURGBP,AUDCAD,0.387722316690393
EURJPY,AUDCAD,-0.51534581525966
EURNZD,AUDCAD,-0.691246356383083
EURUSD,AUDCAD,0.0908613044718128
GBPAUD,AUDCAD,-0.796396470582382
GBPCAD,AUDCAD,-0.542208632215409
GBPCHF,AUDCAD,-0.668188391332966
GBPJPY,AUDCAD,-0.535031325028299
GBPNZD,AUDCAD,-0.834255861122395
GBPUSD,AUDCAD,-0.349907394278589
NZDCAD,AUDCAD,0.568657810709413
NZDCHF,AUDCAD,-0.179824116094674
NZDJPY,AUDCAD,0.0311303281404326
NZDUSD,AUDCAD,0.807637794137895
USDCAD,AUDCAD,-0.416457917577049
USDCHF,AUDCAD,-0.799922903841726
USDJPY,AUDCAD,-0.534128024805342
DOE.RWTC,AUDCAD,0.491804294998716
LBMA.SILVER,AUDCAD,0.763781276102517
LPPM.PLAT,AUDCAD,0.519079568478838
NASDAQOMX.NDX,AUDCAD,0.499788954901389
NIKKEI.INDEX,AUDCAD,-0.637051096392616
OFDP.COPPER_6,AUDCAD,0.652341627790448
WSJ.CORN_2,AUDCAD,0.675405281471311
YAHOO.INDEX_AORD,AUDCAD,-0.0256196394700131
YAHOO.INDEX_FCHI,AUDCAD,-0.36172890776148
YAHOO.INDEX_GDAXI,AUDCAD,0.373762443163822
YAHOO.INDEX_GSPC,AUDCAD,0.356478541824443
YAHOO.INDEX_GSPTSE,AUDCAD,0.390280587074505
YAHOO.INDEX_SSEC,AUDCAD,-0.00531387034593742
BCB.UDJIAD1,AUDCHF,-0.408049631727986
BUNDESBANK.BBK01_WT5511,AUDCHF,-0.135029018997051
AUDCAD,AUDCHF,0.0377641493439229
AUDJPY,AUDCHF,0.218281085843343
AUDNZD,AUDCHF,0.380130381906714
AUDUSD,AUDCHF,0.402288929268364
CADCHF,AUDCHF,0.797024128314338
CADJPY,AUDCHF,0.218833568871872
CHFJPY,AUDCHF,-0.605809967327351
EURAUD,AUDCHF,-0.178774808996704
EURCAD,AUDCHF,-0.257220347194785
EURCHF,AUDCHF,0.553683764865005
EURGBP,AUDCHF,-0.162967532187707
EURJPY,AUDCHF,0.0785043951260196
EURNZD,AUDCHF,0.0233968779346972
EURUSD,AUDCHF,0.408225901013715
GBPAUD,AUDCHF,0.0146478738786334
GBPCAD,AUDCHF,0.0189463376292124
GBPCHF,AUDCHF,0.491057545746818
GBPJPY,AUDCHF,0.154832959832906
GBPNZD,AUDCHF,0.174522478949188
GBPUSD,AUDCHF,0.523375982331481
NZDCAD,AUDCHF,-0.319217578120729
NZDCHF,AUDCHF,0.725304816038136
NZDJPY,AUDCHF,-0.0479469489383108
NZDUSD,AUDCHF,0.221665986178222
USDCAD,AUDCHF,-0.613415887488721
USDCHF,AUDCHF,0.355518632610249
USDJPY,AUDCHF,-0.200737578629934
DOE.RWTC,AUDCHF,0.365496031608908
LBMA.SILVER,AUDCHF,0.10409143069019
LPPM.PLAT,AUDCHF,0.37573480894877
NASDAQOMX.NDX,AUDCHF,-0.587318479003911
NIKKEI.INDEX,AUDCHF,-0.870231366542008
OFDP.COPPER_6,AUDCHF,0.848073477586232
WSJ.CORN_2,AUDCHF,0.381650853629882
YAHOO.INDEX_AORD,AUDCHF,0.105836790848609
YAHOO.INDEX_FCHI,AUDCHF,0.151060999799071
YAHOO.INDEX_GDAXI,AUDCHF,-0.475439558560088
YAHOO.INDEX_GSPC,AUDCHF,-0.437410431636448
YAHOO.INDEX_GSPTSE,AUDCHF,-0.0866582229813364
YAHOO.INDEX_SSEC,AUDCHF,-0.0118015890899947
BCB.UDJIAD1,AUDJPY,0.66653964993955
BUNDESBANK.BBK01_WT5511,AUDJPY,-0.0509412399408089
AUDCAD,AUDJPY,0.218031360155954
AUDCHF,AUDJPY,0.218281085843343
AUDNZD,AUDJPY,-0.40025458944673
AUDUSD,AUDJPY,0.215245500422664
CADCHF,AUDJPY,0.0651015763887768
CADJPY,AUDJPY,0.807834405912424
CHFJPY,AUDJPY,0.637845992481718
EURAUD,AUDJPY,-0.259736394287866
EURCAD,AUDJPY,-0.151889758180996
EURCHF,AUDJPY,-0.0109588097250279
EURGBP,AUDJPY,-0.412006946985218
EURJPY,AUDJPY,0.617350793002714
EURNZD,AUDJPY,-0.488914487804929
EURUSD,AUDJPY,0.110349522709919
GBPAUD,AUDJPY,0.0811981457482364
GBPCAD,AUDJPY,0.242168870931837
GBPCHF,AUDJPY,0.202113893566098
GBPJPY,AUDJPY,0.580388596006897
GBPNZD,AUDJPY,-0.0877668045033186
GBPUSD,AUDJPY,0.489714745595842
NZDCAD,AUDJPY,0.50446457313559
NZDCHF,AUDJPY,0.49357811571627
NZDJPY,AUDJPY,0.891339476975693
NZDUSD,AUDJPY,0.544175362614092
USDCAD,AUDJPY,-0.197832558557023
USDCHF,AUDJPY,-0.093021619055087
USDJPY,AUDJPY,0.517580768730478
DOE.RWTC,AUDJPY,0.355820025380308
LBMA.SILVER,AUDJPY,-0.024934996924111
LPPM.PLAT,AUDJPY,0.241022615103793
NASDAQOMX.NDX,AUDJPY,0.433835774934704
NIKKEI.INDEX,AUDJPY,-0.280082343709539
OFDP.COPPER_6,AUDJPY,-0.538121616691314
WSJ.CORN_2,AUDJPY,0.0194361885678003
YAHOO.INDEX_AORD,AUDJPY,0.859953294166628
YAHOO.INDEX_FCHI,AUDJPY,0.706685213974165
YAHOO.INDEX_GDAXI,AUDJPY,0.602098922043617
YAHOO.INDEX_GSPC,AUDJPY,0.673400399207454
YAHOO.INDEX_GSPTSE,AUDJPY,0.777485342457406
YAHOO.INDEX_SSEC,AUDJPY,0.386814891157758
BCB.UDJIAD1,AUDNZD,-0.47875165552578
BUNDESBANK.BBK01_WT5511,AUDNZD,0.513496075955722
AUDCAD,AUDNZD,0.277390869212405
AUDCHF,AUDNZD,0.380130381906714
AUDJPY,AUDNZD,-0.40025458944673
AUDUSD,AUDNZD,0.58882149415635
CADCHF,AUDNZD,0.132259632080349
CADJPY,AUDNZD,-0.523025121620373
CHFJPY,AUDNZD,-0.620377571109085
EURAUD,AUDNZD,-0.303614433625252
EURCAD,AUDNZD,-0.288942940360105
EURCHF,AUDNZD,-0.0305514732796952
EURGBP,AUDNZD,0.638794093128185
EURJPY,AUDNZD,-0.565832622650398
EURNZD,AUDNZD,0.280754993845884
EURUSD,AUDNZD,0.428853127098001
GBPAUD,AUDNZD,-0.573928131084013
GBPCAD,AUDNZD,-0.660324457557437
GBPCHF,AUDNZD,-0.335335636989897
GBPJPY,AUDNZD,-0.651996309279857
